"target","estimated","rep"
0.1,0.080313122215921,1
0.1,0.124072140132301,2
0.1,0.118755996462246,3
0.1,0.105232641229798,4
0.1,0.103838442414072,5
0.1,0.114069698703722,6
0.1,0.0979946421960081,7
0.1,0.126225051143867,8
0.1,0.0519402455718729,9
0.1,0.0990561041834056,10
0.2,0.181454546603153,1
0.2,0.212950334386834,2
0.2,0.169254328989928,3
0.2,0.16186553980875,4
0.2,0.215786479829271,5
0.2,0.212118763835256,6
0.2,0.225185116411646,7
0.2,0.195522234339681,8
0.2,0.199027240861538,9
0.2,0.159005521640798,10
0.3,0.249675833066381,1
0.3,0.289753092095277,2
0.3,0.278319727143651,3
0.3,0.318873228291784,4
0.3,0.340737801331354,5
0.3,0.304048800844634,6
0.3,0.270463445693838,7
0.3,0.322052098858846,8
0.3,0.323654156716773,9
0.3,0.227262678640169,10
0.4,0.396724284137071,1
0.4,0.432730861671169,2
0.4,0.409179722616567,3
0.4,0.440367506412532,4
0.4,0.41053217327094,5
0.4,0.382197407588797,6
0.4,0.387683641158002,7
0.4,0.402741169211766,8
0.4,0.393492663615198,9
0.4,0.434208102757983,10
0.5,0.45962251326142,1
0.5,0.498189272068849,2
0.5,0.477729099278768,3
0.5,0.526643555422808,4
0.5,0.533358117420293,5
0.5,0.543221260416873,6
0.5,0.504272032358207,7
0.5,0.462390931209383,8
0.5,0.488668651368131,9
0.5,0.524880548572203,10
0.6,0.604498412659635,1
0.6,0.576312021858659,2
0.6,0.607207269107806,3
0.6,0.626430717034171,4
0.6,0.619175966368077,5
0.6,0.600455241956459,6
0.6,0.629769390428416,7
0.6,0.611148880214602,8
0.6,0.601394068823716,9
0.6,0.582238780179336,10
0.7,0.687015636363687,1
0.7,0.72183528771614,2
0.7,0.718861042320093,3
0.7,0.70206555723832,4
0.7,0.72002873687249,5
0.7,0.691193069658673,6
0.7,0.739520192175288,7
0.7,0.675737552907897,8
0.7,0.713418293438934,9
0.7,0.691173087744247,10
0.8,0.781424666599108,1
0.8,0.796063639176148,2
0.8,0.82478093907176,3
0.8,0.803074452748288,4
0.8,0.795107704250825,5
0.8,0.787855383905012,6
0.8,0.816331890769696,7
0.8,0.813456823225604,8
0.8,0.793686381486396,9
0.8,0.786923627597525,10
0.9,0.907128994794364,1
0.9,0.907965808269194,2
0.9,0.900200111920172,3
0.9,0.907544018585723,4
0.9,0.894153296545098,5
0.9,0.907854887468365,6
0.9,0.901160205752985,7
0.9,0.892668679170675,8
0.9,0.900451389249828,9
0.9,0.908943668277085,10
