"coverage","sample","accuracy","het_accuracy","missing"
0.5,1,0.939814814814815,0.137931034482759,0.6112
0.5,2,0.927147239263804,0.124555160142349,0.6088
0.5,3,0.934426229508197,0.135245901639344,0.6096
0.5,4,0.94727366255144,0.119565217391304,0.6112
0.5,5,0.901995453397323,0.115384615384615,0.6041
0.5,6,0.948006057546694,0.131428571428571,0.6038
0.5,7,0.944150943396226,0.109947643979058,0.6025
0.5,8,0.903153712441023,0.122137404580153,0.5973
0.5,9,0.937690742624618,0.0753138075313808,0.6068
0.5,10,0.960275019098549,0.141843971631206,0.6073
1,1,0.938532401524778,0.22879177377892,0.3704
1,2,0.929171288226905,0.267515923566879,0.3689
1,3,0.94453198865427,0.208823529411765,0.3654
1,4,0.947827465905487,0.256880733944954,0.3694
1,5,0.914843006660323,0.263074484944533,0.3694
1,6,0.95496062992126,0.256916996047431,0.365
1,7,0.952448210922787,0.251655629139073,0.3628
1,8,0.9147054177855,0.243611584327087,0.3669
1,9,0.936510424831478,0.220551378446115,0.3621
1,10,0.953759043724442,0.19327731092437,0.3642
2,1,0.947644589552239,0.478095238095238,0.1424
2,2,0.942535407476202,0.457516339869281,0.1386
2,3,0.9507452258966,0.477801268498943,0.1412
2,4,0.949455135636448,0.42822966507177,0.1374
2,5,0.92682645770915,0.442992874109264,0.1322
2,6,0.953743222978429,0.400552486187845,0.1331
2,7,0.952864642775622,0.474418604651163,0.1238
2,8,0.928000926033106,0.450060168471721,0.1361
2,9,0.944245642387164,0.451086956521739,0.1337
2,10,0.960622604251365,0.474522292993631,0.1391
4,1,0.958739837398374,0.700980392156863,0.016
4,2,0.956800162634682,0.746537396121884,0.0162
4,3,0.958167938931298,0.741758241758242,0.0175
4,4,0.965801526717557,0.745833333333333,0.0175
4,5,0.951189749847468,0.745850622406639,0.0166
4,6,0.965450468813698,0.739130434782609,0.0188
4,7,0.96363821552251,0.757446808510638,0.0182
4,8,0.949316744850092,0.73326359832636,0.0194
4,9,0.958282458282458,0.698890649762282,0.0172
4,10,0.966523780363339,0.756302521008403,0.0202
8,1,0.984896979395879,0.900481540930979,2e-04
8,2,0.984195258577573,0.899319727891156,3e-04
8,3,0.985592796398199,0.897297297297297,5e-04
8,4,0.98589012308616,0.900826446280992,7e-04
8,5,0.981798179817982,0.903357070193286,1e-04
8,6,0.986797359471894,0.907363420427553,2e-04
8,7,0.986598659865987,0.892116182572614,1e-04
8,8,0.979885920144101,0.891975308641975,7e-04
8,9,0.984793917567027,0.913713405238829,4e-04
8,10,0.988898889888989,0.912328767123288,1e-04
10,1,0.991399139913991,0.934189406099519,1e-04
10,2,0.9914,0.933333333333333,0
10,3,0.9917,0.935135135135135,0
10,4,0.9914,0.923553719008264,0
10,5,0.99009900990099,0.949135300101729,1e-04
10,6,0.992299229922992,0.91686460807601,1e-04
10,7,0.9931,0.948132780082988,0
10,8,0.989097819563913,0.935185185185185,2e-04
10,9,0.992099209920992,0.938366718027735,1e-04
10,10,0.9939,0.945205479452055,0
15,1,0.9981,0.97752808988764,0
15,2,0.9977,0.97687074829932,0
15,3,0.998,0.981981981981982,0
15,4,0.9979,0.979338842975207,0
15,5,0.9967,0.972533062054934,0
15,6,0.9987,0.978622327790974,0
15,7,0.9984,0.981327800829875,0
15,8,0.9968,0.979445015416238,0
15,9,0.9983,0.984591679506934,0
15,10,0.9977,0.967123287671233,0
20,1,0.9994,0.991974317817014,0
20,2,0.9995,0.993197278911565,0
20,3,0.9996,0.992792792792793,0
20,4,0.9993,0.985537190082645,0
20,5,0.9991,0.991861648016277,0
20,6,0.9996,0.995249406175772,0
20,7,0.999,0.983402489626556,0
20,8,0.9992,0.993833504624872,0
20,9,0.9992,0.99075500770416,0
20,10,0.9994,0.983561643835616,0
30,1,1,1,0
30,2,0.9999,0.998639455782313,0
30,3,0.9999,0.998198198198198,0
30,4,0.9998,0.995867768595041,0
30,5,1,1,0
30,6,0.9999,0.997624703087886,0
30,7,0.9999,0.99792531120332,0
30,8,1,1,0
30,9,1,1,0
30,10,1,1,0
