"scheme","heterozygosity","donor_fraction"
"F2",0.273,0.1365
"F2",1,0.5
"F2",0.473,0.2915
"F2",0.327,0.7345
"F2",0.669,0.3345
"F2",0.64,0.32
"F2",0.356,0.822
"F2",0.643,0.3215
"F2",0.564,0.639
"F2",0.885,0.4925
"F2",0.662,0.349
"F2",0.288,0.144
"F2",0.32,0.84
"F2",0,1
"F2",0.204,0.194
"F2",1,0.5
"F2",0.761,0.3805
"F2",0,1
"F2",0.329,0.1645
"F2",0.349,0.2185
"F2",0.928,0.464
"F2",0.178,0.706
"F2",0.389,0.4425
"F2",0.723,0.3875
"F2",1,0.5
"F2",0.487,0.4535
"F2",0.577,0.7115
"F2",0.205,0.1025
"F2",0.923,0.4615
"F2",0.542,0.271
"F2",0.553,0.7235
"F2",0.855,0.5725
"F2",1,0.5
"F2",0.6,0.586
"F2",0,0
"F2",0.724,0.456
"F2",1,0.5
"F2",0.934,0.533
"F2",0.172,0.914
"F2",0.639,0.6065
"F2",0.504,0.473
"F2",0.305,0.1685
"F2",0.691,0.3455
"F2",0.188,0.906
"F2",0.311,0.1555
"F2",0.079,0.9605
"F2",0.531,0.7345
"F2",0.277,0.3095
"F2",0.073,0.9635
"F2",0.068,0.034
"F2",0.496,0.752
"F2",0.179,0.7295
"F2",0.163,0.0815
"F2",0.868,0.566
"F2",0.494,0.753
"F2",0.769,0.3845
"F2",0.489,0.7555
"F2",0.549,0.2745
"F2",0.802,0.599
"F2",0.323,0.8385
"F2",0.747,0.5905
"F2",0.237,0.8815
"F2",0.758,0.537
"F2",0.964,0.482
"F2",0,0
"F2",0.727,0.3635
"F2",0.53,0.698
"F2",0.191,0.0955
"F2",0,1
"F2",0.921,0.5395
"F2",0.548,0.726
"F2",0.523,0.2615
"F2",0.524,0.738
"F2",0.948,0.474
"F2",0.64,0.32
"F2",0.536,0.268
"F2",0.581,0.3885
"F2",0.416,0.792
"F2",0.54,0.73
"F2",0.904,0.548
"F2",0.136,0.068
"F2",0.331,0.8345
"F2",0,1
"F2",0.962,0.519
"F2",0,1
"F2",0.668,0.334
"F2",0.407,0.2035
"F2",0.362,0.819
"F2",1,0.5
"F2",0.617,0.6915
"F2",0.579,0.6005
"F2",1,0.5
"F2",0.968,0.484
"F2",0.034,0.017
"F2",0.334,0.559
"F2",0.201,0.1005
"F2",0.115,0.9425
"F2",0,1
"F2",0.662,0.474
"F2",0.237,0.6135
"BC1",0.875,0.4375
"BC1",0.33,0.165
"BC1",0,0
"BC1",0,0
"BC1",0.547,0.2735
"BC1",0,0
"BC1",0,0
"BC1",0.819,0.4095
"BC1",0.902,0.451
"BC1",1,0.5
"BC1",0.277,0.1385
"BC1",0.168,0.084
"BC1",0.017,0.0085
"BC1",0,0
"BC1",0.16,0.08
"BC1",1,0.5
"BC1",0.008,0.004
"BC1",0.573,0.2865
"BC1",0,0
"BC1",0.133,0.0665
"BC1",0.673,0.3365
"BC1",0,0
"BC1",0.673,0.3365
"BC1",0.808,0.404
"BC1",0,0
"BC1",0,0
"BC1",0.602,0.301
"BC1",0.244,0.122
"BC1",0,0
"BC1",0.77,0.385
"BC1",0.796,0.398
"BC1",0.909,0.4545
"BC1",1,0.5
"BC1",0.076,0.038
"BC1",1,0.5
"BC1",0.617,0.3085
"BC1",0.802,0.401
"BC1",1,0.5
"BC1",0.91,0.455
"BC1",0.706,0.353
"BC1",0,0
"BC1",1,0.5
"BC1",0.304,0.152
"BC1",0.653,0.3265
"BC1",0.044,0.022
"BC1",0.39,0.195
"BC1",0.622,0.311
"BC1",0.64,0.32
"BC1",0,0
"BC1",0.249,0.1245
"BC1",0.299,0.1495
"BC1",1,0.5
"BC1",0,0
"BC1",0.701,0.3505
"BC1",0.21,0.105
"BC1",0,0
"BC1",1,0.5
"BC1",0.716,0.358
"BC1",0,0
"BC1",1,0.5
"BC1",0.775,0.3875
"BC1",1,0.5
"BC1",0.447,0.2235
"BC1",0.617,0.3085
"BC1",0.094,0.047
"BC1",0.141,0.0705
"BC1",0.813,0.4065
"BC1",0.053,0.0265
"BC1",0.412,0.206
"BC1",0,0
"BC1",0,0
"BC1",0,0
"BC1",0.678,0.339
"BC1",0.465,0.2325
"BC1",0.121,0.0605
"BC1",1,0.5
"BC1",0.934,0.467
"BC1",1,0.5
"BC1",0.69,0.345
"BC1",0.899,0.4495
"BC1",0.303,0.1515
"BC1",0,0
"BC1",0,0
"BC1",0.517,0.2585
"BC1",0.662,0.331
"BC1",0.942,0.471
"BC1",0.942,0.471
"BC1",0.788,0.394
"BC1",0,0
"BC1",0.505,0.2525
"BC1",0.045,0.0225
"BC1",0.106,0.053
"BC1",0.362,0.181
"BC1",0.523,0.2615
"BC1",0.73,0.365
"BC1",0.813,0.4065
"BC1",0,0
"BC1",0,0
"BC1",1,0.5
"BC1",0.069,0.0345
"BC2",0,0
"BC2",0.514,0.257
"BC2",0.01,0.005
"BC2",0.613,0.3065
"BC2",0,0
"BC2",0,0
"BC2",0.641,0.3205
"BC2",0,0
"BC2",0.014,0.007
"BC2",0.52,0.26
"BC2",0.501,0.2505
"BC2",0,0
"BC2",0,0
"BC2",0.163,0.0815
"BC2",0,0
"BC2",0,0
"BC2",0.899,0.4495
"BC2",0.656,0.328
"BC2",0.221,0.1105
"BC2",0,0
"BC2",0,0
"BC2",0,0
"BC2",1,0.5
"BC2",0.905,0.4525
"BC2",0.129,0.0645
"BC2",0.233,0.1165
"BC2",0.323,0.1615
"BC2",0.195,0.0975
"BC2",0,0
"BC2",0.245,0.1225
"BC2",0.668,0.334
"BC2",0.362,0.181
"BC2",0.198,0.099
"BC2",0.051,0.0255
"BC2",0,0
"BC2",0.106,0.053
"BC2",0,0
"BC2",0,0
"BC2",0.57,0.285
"BC2",0,0
"BC2",0.154,0.077
"BC2",0.437,0.2185
"BC2",0,0
"BC2",0,0
"BC2",0,0
"BC2",0,0
"BC2",0.122,0.061
"BC2",0,0
"BC2",0,0
"BC2",0,0
"BC2",0,0
"BC2",1,0.5
"BC2",0.165,0.0825
"BC2",0.665,0.3325
"BC2",0,0
"BC2",0,0
"BC2",0.585,0.2925
"BC2",0,0
"BC2",0.602,0.301
"BC2",0.127,0.0635
"BC2",0.277,0.1385
"BC2",0.245,0.1225
"BC2",0.699,0.3495
"BC2",0.535,0.2675
"BC2",0.044,0.022
"BC2",0,0
"BC2",0.077,0.0385
"BC2",0.054,0.027
"BC2",0,0
"BC2",0.355,0.1775
"BC2",0.121,0.0605
"BC2",0,0
"BC2",0.065,0.0325
"BC2",0.608,0.304
