"scheme","heterozygosity","donor_fraction"
"BC2",0.685,0.3425
"BC2",0.588,0.294
"BC2",0,0
"BC2",0.419,0.2095
"BC2",0.679,0.3395
"BC2",0,0
"BC2",0,0
"BC2",0,0
"BC2",0.263,0.1315
"BC2",0,0
"BC2",0,0
"BC2",1,0.5
"BC2",0.107,0.0535
"BC2",0.536,0.268
"BC2",0.956,0.478
"BC2",0.264,0.132
"BC2",0,0
"BC2",0.849,0.4245
"BC2",0.194,0.097
"BC2",0.341,0.1705
"BC2",0.226,0.113
"BC2",0,0
"BC2",0.094,0.047
"BC2",0.368,0.184
"BC2",0.535,0.2675
"BC2",0.441,0.2205
"RIL-F6",0,1
"RIL-F6",0,0.928
"RIL-F6",0,0
"RIL-F6",0,0.696
"RIL-F6",0.116,0.684
"RIL-F6",0,0.872
"RIL-F6",0,0.939
"RIL-F6",0,0.851
"RIL-F6",0,0.535
"RIL-F6",0,0.215
"RIL-F6",0,0.044
"RIL-F6",0.231,0.6435
"RIL-F6",0,0.915
"RIL-F6",0.134,0.515
"RIL-F6",0,0.634
"RIL-F6",0,0.85
"RIL-F6",0,0.897
"RIL-F6",0.106,0.685
"RIL-F6",0,0.083
"RIL-F6",0,0.214
"RIL-F6",0,0.414
"RIL-F6",0,0.975
"RIL-F6",0,0.986
"RIL-F6",0,0.571
"RIL-F6",0,0.626
"RIL-F6",0.172,0.418
"RIL-F6",0,1
"RIL-F6",0,0.706
"RIL-F6",0,0.311
"RIL-F6",0.133,0.7035
"RIL-F6",0,0.27
"RIL-F6",0.047,0.3835
"RIL-F6",0,0.283
"RIL-F6",0.124,0.39
"RIL-F6",0,0.294
"RIL-F6",0,0.564
"RIL-F6",0,0.607
"RIL-F6",0,0.408
"RIL-F6",0,0.042
"RIL-F6",0,0.568
"RIL-F6",0,0
"RIL-F6",0,0
"RIL-F6",0,0
"RIL-F6",0,0.998
"RIL-F6",0,1
"RIL-F6",0,0
"RIL-F6",0.155,0.1945
"RIL-F6",0,0.423
"RIL-F6",0,0.45
"RIL-F6",0,0.966
"RIL-F6",0,0.6
"RIL-F6",0,0.949
"RIL-F6",0,0.075
"RIL-F6",0.085,0.4735
"RIL-F6",0,0.919
"RIL-F6",0.036,0.018
"RIL-F6",0,0.895
"RIL-F6",0.104,0.65
"RIL-F6",0.03,0.661
"RIL-F6",0,0.296
"RIL-F6",0,0.685
"RIL-F6",0.025,0.7165
"RIL-F6",0,0.362
"RIL-F6",0,0
"RIL-F6",0,0.692
"RIL-F6",0.052,0.734
"RIL-F6",0,0.451
"RIL-F6",0,0.423
"RIL-F6",0,0.226
"RIL-F6",0,0.709
"RIL-F6",0,0.341
"RIL-F6",0,0
"RIL-F6",0.156,0.296
"RIL-F6",0,0.922
"RIL-F6",0.016,0.557
"RIL-F6",0.164,0.817
"RIL-F6",0.032,0.166
"RIL-F6",0,0
"RIL-F6",0,0.579
"RIL-F6",0,0.49
"RIL-F6",0,0.704
"RIL-F6",0.057,0.0285
"RIL-F6",0,0.43
"RIL-F6",0.051,0.4825
"RIL-F6",0,0.829
"RIL-F6",0.009,0.6655
"RIL-F6",0.407,0.7135
"RIL-F6",0,0.421
"RIL-F6",0,0.716
"RIL-F6",0,0.66
"RIL-F6",0,0.42
"RIL-F6",0.096,0.663
"RIL-F6",0,0
"RIL-F6",0,0.41
"RIL-F6",0,0.648
"RIL-F6",0,0.474
"RIL-F6",0,0.455
"RIL-F6",0.09,0.045
"RIL-F6",0,1
"RIL-F6",0,0.383
"MAGIC-F4",0.178,0.292
"MAGIC-F4",0.175,0.3055
"MAGIC-F4",0.472,0.764
"MAGIC-F4",0.1,0.808
"MAGIC-F4",0,0
"MAGIC-F4",0.192,0.821
"MAGIC-F4",0,0.131
"MAGIC-F4",0.554,0.335
"MAGIC-F4",0.066,0.276
"MAGIC-F4",0.178,0.653
"MAGIC-F4",0.409,0.5285
"MAGIC-F4",0.317,0.6885
"MAGIC-F4",0.054,0.144
"MAGIC-F4",0.362,0.42
"MAGIC-F4",0,0
"MAGIC-F4",0.13,0.065
"MAGIC-F4",0.28,0.623
"MAGIC-F4",0.042,0.402
"MAGIC-F4",0.371,0.6755
"MAGIC-F4",0.131,0.6875
"MAGIC-F4",0,0.77
"MAGIC-F4",0,1
"MAGIC-F4",0.038,0.105
"MAGIC-F4",0,0.751
"MAGIC-F4",0,0.081
"MAGIC-F4",0,0.22
"MAGIC-F4",0.057,0.9695
"MAGIC-F4",0,0.372
"MAGIC-F4",0.259,0.2085
"MAGIC-F4",0.008,0.004
"MAGIC-F4",0.297,0.2805
"MAGIC-F4",0,0.53
"MAGIC-F4",0,0.423
"MAGIC-F4",0,0.431
"MAGIC-F4",0.133,0.0665
"MAGIC-F4",0,0.458
"MAGIC-F4",0.082,0.959
"MAGIC-F4",0.356,0.556
"MAGIC-F4",0.093,0.5945
"MAGIC-F4",0,0.33
"MAGIC-F4",0,0.441
"MAGIC-F4",0.229,0.6155
"MAGIC-F4",0,0.415
"MAGIC-F4",0.019,0.3525
"MAGIC-F4",0,0
"MAGIC-F4",0.339,0.4195
"MAGIC-F4",0.727,0.3635
"MAGIC-F4",0,0.973
"MAGIC-F4",0.543,0.2715
"MAGIC-F4",0,0.712
"MAGIC-F4",0.291,0.5615
"MAGIC-F4",0.015,0.9925
"MAGIC-F4",0.085,0.3825
"MAGIC-F4",0.36,0.82
"MAGIC-F4",0.374,0.734
"MAGIC-F4",0.159,0.0795
"MAGIC-F4",0,1
"MAGIC-F4",0.092,0.593
"MAGIC-F4",0,0.453
"MAGIC-F4",0.083,0.4305
"MAGIC-F4",0.227,0.8865
"MAGIC-F4",0.133,0.4835
"MAGIC-F4",0.456,0.514
"MAGIC-F4",0,0.467
"MAGIC-F4",0.115,0.9425
"MAGIC-F4",0.342,0.477
"MAGIC-F4",0.101,0.5115
"MAGIC-F4",0,0.594
"MAGIC-F4",0,0.771
"MAGIC-F4",0.048,0.822
"MAGIC-F4",0,0.687
"MAGIC-F4",0.279,0.2705
"MAGIC-F4",0.193,0.7125
"MAGIC-F4",0.506,0.481
"MAGIC-F4",0,0.652
"MAGIC-F4",0.046,0.023
"MAGIC-F4",0.102,0.145
"MAGIC-F4",0.009,0.5725
"MAGIC-F4",0,0.316
"MAGIC-F4",0,0.542
"MAGIC-F4",0,0.524
"MAGIC-F4",0,0.378
"MAGIC-F4",0,0
"MAGIC-F4",0,0
"MAGIC-F4",0.134,0.367
"MAGIC-F4",0,0.096
"MAGIC-F4",0.319,0.8365
"MAGIC-F4",0.346,0.529
"MAGIC-F4",0.088,0.732
"MAGIC-F4",0.202,0.711
"MAGIC-F4",0.005,0.5275
"MAGIC-F4",0.063,0.5155
"MAGIC-F4",0,1
"MAGIC-F4",0.003,0.1015
"MAGIC-F4",0.347,0.7825
"MAGIC-F4",0.056,0.892
"MAGIC-F4",0.155,0.7985
"MAGIC-F4",0,0
"MAGIC-F4",0,0.901
"MAGIC-F4",0.374,0.58
