"generation","heterozygosity","generation_label"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
1,0.264,"F2"
1,0.506,"F2"
1,0.469,"F2"
1,0.437,"F2"
1,0.771,"F2"
1,0.118,"F2"
1,0.54,"F2"
1,0.72,"F2"
1,0.952,"F2"
1,0.295,"F2"
1,0,"F2"
1,0.519,"F2"
1,0.097,"F2"
1,0.997,"F2"
1,0.464,"F2"
1,0.571,"F2"
1,0.9,"F2"
1,0.168,"F2"
1,0.01,"F2"
1,0.014,"F2"
1,0.617,"F2"
1,0.661,"F2"
1,1,"F2"
1,0,"F2"
1,0.917,"F2"
1,0.542,"F2"
1,0.236,"F2"
1,0.617,"F2"
1,0.859,"F2"
1,0.885,"F2"
1,0.683,"F2"
1,0.774,"F2"
1,0.004,"F2"
1,0.33,"F2"
1,0.185,"F2"
1,0.487,"F2"
1,0.627,"F2"
1,0,"F2"
1,0.05,"F2"
1,0.683,"F2"
1,0.085,"F2"
1,0.25,"F2"
1,0.163,"F2"
1,0.428,"F2"
1,0.791,"F2"
1,0.384,"F2"
1,0.496,"F2"
1,0,"F2"
1,0.881,"F2"
1,0.48,"F2"
1,0.376,"F2"
1,1,"F2"
1,0.674,"F2"
1,0.794,"F2"
1,0.629,"F2"
1,0.089,"F2"
1,0.334,"F2"
1,0.279,"F2"
1,0.503,"F2"
1,1,"F2"
1,0.99,"F2"
1,0.716,"F2"
1,0.972,"F2"
1,0.446,"F2"
1,0.331,"F2"
1,0.843,"F2"
1,0.639,"F2"
1,1,"F2"
1,0.883,"F2"
1,0.537,"F2"
1,0.356,"F2"
1,0.425,"F2"
1,0.04,"F2"
1,0,"F2"
1,0.828,"F2"
1,0.654,"F2"
1,0.169,"F2"
1,0.957,"F2"
1,0.751,"F2"
1,0.033,"F2"
1,0.129,"F2"
1,0.375,"F2"
1,0.671,"F2"
1,0.927,"F2"
1,0.073,"F2"
1,0.586,"F2"
1,0.443,"F2"
1,0.713,"F2"
1,0.538,"F2"
1,0.253,"F2"
1,0.178,"F2"
1,0.606,"F2"
1,0.656,"F2"
1,0.805,"F2"
1,0,"F2"
1,0,"F2"
1,0.744,"F2"
1,0.8,"F2"
1,0.383,"F2"
1,0.143,"F2"
2,0.264,"F3"
2,0.357,"F3"
2,0,"F3"
2,0.437,"F3"
2,0.489,"F3"
2,0.074,"F3"
2,0,"F3"
2,0.374,"F3"
2,0.407,"F3"
2,0,"F3"
2,0,"F3"
2,0.258,"F3"
2,0,"F3"
2,0.63,"F3"
2,0,"F3"
2,0,"F3"
