"target_rg","observed_rg","pair","rep"
0,-0.00734780226458906,"Trait 1-2",1
0,0.0436256979874308,"Trait 1-3",1
0,0.494680933843061,"Trait 2-3",1
0,-0.00911287560394651,"Trait 1-2",2
0,-0.0416970003796598,"Trait 1-3",2
0,0.00872216458043044,"Trait 2-3",2
0,0.452102630278293,"Trait 1-2",3
0,0.100724868655914,"Trait 1-3",3
0,0.239816087022958,"Trait 2-3",3
0,-0.305761975813163,"Trait 1-2",4
0,-0.272986997741596,"Trait 1-3",4
0,0.177730413854529,"Trait 2-3",4
0,0.269034166787109,"Trait 1-2",5
0,0.400763323514033,"Trait 1-3",5
0,0.0519038089940116,"Trait 2-3",5
0,-0.229043679625376,"Trait 1-2",6
0,-0.191129995689682,"Trait 1-3",6
0,-0.00473110515017576,"Trait 2-3",6
0,-0.42887475313485,"Trait 1-2",7
0,-0.0141422779665729,"Trait 1-3",7
0,0.0519860420196536,"Trait 2-3",7
0,-0.080488646713449,"Trait 1-2",8
0,-0.117748636083053,"Trait 1-3",8
0,0.0849893562003489,"Trait 2-3",8
0,0.34875471117419,"Trait 1-2",9
0,0.0320081210020727,"Trait 1-3",9
0,0.402635223347469,"Trait 2-3",9
0,0.0751442109336989,"Trait 1-2",10
0,-0.302514434986713,"Trait 1-3",10
0,-0.365794475079023,"Trait 2-3",10
0.2,-0.101589383885387,"Trait 1-2",1
0.2,0.0662235434648109,"Trait 1-3",1
0.2,0.0542059901937055,"Trait 2-3",1
0.2,0.0952350935719538,"Trait 1-2",2
0.2,-0.275015671023147,"Trait 1-3",2
0.2,-0.107258163674301,"Trait 2-3",2
0.2,0.389977349406353,"Trait 1-2",3
0.2,-0.445828636123785,"Trait 1-3",3
0.2,-0.122763494191975,"Trait 2-3",3
0.2,0.0960023658298941,"Trait 1-2",4
0.2,-0.285250654715682,"Trait 1-3",4
0.2,-0.164665671243315,"Trait 2-3",4
0.2,0.132073864267978,"Trait 1-2",5
0.2,0.160400425386483,"Trait 1-3",5
0.2,-0.0760631347261566,"Trait 2-3",5
0.2,0.122449009171202,"Trait 1-2",6
0.2,-0.107723092111234,"Trait 1-3",6
0.2,0.0557860527647646,"Trait 2-3",6
0.2,0.0408476926203567,"Trait 1-2",7
0.2,-0.26474277478289,"Trait 1-3",7
0.2,-0.242396130768318,"Trait 2-3",7
0.2,0.612580626994905,"Trait 1-2",8
0.2,0.442801395240184,"Trait 1-3",8
0.2,0.314790516188065,"Trait 2-3",8
0.2,-0.0332058405503692,"Trait 1-2",9
0.2,-0.0116753638056666,"Trait 1-3",9
0.2,0.176175600158729,"Trait 2-3",9
0.2,0.087399571609613,"Trait 1-2",10
0.2,-0.0731035165353424,"Trait 1-3",10
0.2,0.0497420150983111,"Trait 2-3",10
0.4,-0.0829941333289555,"Trait 1-2",1
0.4,-0.282664556536532,"Trait 1-3",1
0.4,0.0589255224385501,"Trait 2-3",1
0.4,0.502554162975943,"Trait 1-2",2
0.4,0.00862654514408964,"Trait 1-3",2
0.4,0.237780800794497,"Trait 2-3",2
