"distance","r2_mean","r2_sd","n_pairs","distance_kb"
100,0.00153508589977977,0.00125704360963096,10,0.1
500,0.00442931566900303,0.00694483084553804,50,0.5
1000,0.00444517754406887,0.00889678852878367,50,1
5000,0.00501446457784766,0.0115418946114145,50,5
10000,0.00443950008893687,0.00797715361890224,50,10
50000,0.00778908402693339,0.011822859979248,50,50
1e+05,0.00485043575360108,0.00612595562460169,50,100
5e+05,0.00393186687087916,0.00645326631308484,50,500
1e+06,0.0039822657140681,0.00528612843891014,50,1000
