"model","component","variance"
"Add + Dom","Additive",0.423473802038023
"Add + Dom","Dominance",0.0927573964903995
"Add + Dom","Residual",0.483768801471577
"Add + Dom + Epi","Additive",0.299291493755098
"Add + Dom + Epi","Dominance",0.0411180972399405
"Add + Dom + Epi","Epistasis",0.11480021258183
"Add + Dom + Epi","Residual",0.544790196423131
"Additive","Additive",0.5
"Additive","Residual",0.5
"Add + Dom","Additive",0.346898656222879
"Add + Dom","Dominance",0.145089987741888
"Add + Dom","Residual",0.508011356035234
"Add + Dom + Epi","Additive",0.357737693868896
"Add + Dom + Epi","Dominance",0.0559791987078951
"Add + Dom + Epi","Epistasis",0.116424289197166
"Add + Dom + Epi","Residual",0.469858818226043
"Additive","Additive",0.5
"Additive","Residual",0.5
"Add + Dom","Additive",0.40852576615948
"Add + Dom","Dominance",0.0942848449662301
"Add + Dom","Residual",0.49718938887429
"Add + Dom + Epi","Additive",0.414727103478539
"Add + Dom + Epi","Dominance",0.0488371271811072
"Add + Dom + Epi","Epistasis",0.0415576593796387
"Add + Dom + Epi","Residual",0.494878109960715
"Additive","Additive",0.5
"Additive","Residual",0.5
"Add + Dom","Additive",0.467049085955561
"Add + Dom","Dominance",0.038636788538141
"Add + Dom","Residual",0.494314125506298
"Add + Dom + Epi","Additive",0.410406668718069
"Add + Dom + Epi","Dominance",0.0426307746569038
"Add + Dom + Epi","Epistasis",0.0710088145226821
"Add + Dom + Epi","Residual",0.475953742102345
"Additive","Additive",0.5
"Additive","Residual",0.5
"Add + Dom","Additive",0.425877111572714
"Add + Dom","Dominance",0.0698137546260835
"Add + Dom","Residual",0.504309133801203
"Add + Dom + Epi","Additive",0.413381360932053
"Add + Dom + Epi","Dominance",0.0472131613552022
"Add + Dom + Epi","Epistasis",0.0365932281544546
"Add + Dom + Epi","Residual",0.502812249558291
"Additive","Additive",0.5
"Additive","Residual",0.5
"Add + Dom","Additive",0.393314222585554
"Add + Dom","Dominance",0.101005792495797
"Add + Dom","Residual",0.505679984918649
"Add + Dom + Epi","Additive",0.322077506822956
"Add + Dom + Epi","Dominance",0.0452204196931456
"Add + Dom + Epi","Epistasis",0.110478807288516
"Add + Dom + Epi","Residual",0.522223266195382
"Additive","Additive",0.5
"Additive","Residual",0.5
"Add + Dom","Additive",0.387666609901947
"Add + Dom","Dominance",0.0918964961791308
"Add + Dom","Residual",0.520436893918922
"Add + Dom + Epi","Additive",0.350112318218323
"Add + Dom + Epi","Dominance",0.036743912586481
"Add + Dom + Epi","Epistasis",0.0687260942048404
"Add + Dom + Epi","Residual",0.544417674990355
"Additive","Additive",0.5
"Additive","Residual",0.5
"Add + Dom","Additive",0.375522179420873
"Add + Dom","Dominance",0.112417872693455
"Add + Dom","Residual",0.512059947885672
"Add + Dom + Epi","Additive",0.36255513079007
"Add + Dom + Epi","Dominance",0.0386512890308887
"Add + Dom + Epi","Epistasis",0.101176960161403
"Add + Dom + Epi","Residual",0.497616620017638
